tax_id,Org_name,GeneID,CurrentID,Status,Symbol,Aliases,description,other_designations,map_location,chromosome,genomic_nucleotide_accession.version,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession,orientation,exon_count,OMIM
9606,Homo sapiens,348,0,live,APOE,"AD2, APO-E, ApoE4, LDLCQ5, LPG",apolipoprotein E,apolipoprotein E|apolipoprotein E3,19q13.32,19,NC_000019.10,44905796,44909393,plus,6,107741
9606,Homo sapiens,1191,0,live,CLU,"AAG4, APO-J, APOJ, CLI1, CLU2, KUB1, NA1/NA2, SGP-2, SGP2, SP-40, TRPM-2, TRPM2, CLU",clusterin,"clusterin|aging-associated protein 4|apolipoprotein J|complement cytolysis inhibitor|complement lysis inhibitor|complement-associated protein SP-40,40|epididymis secretory sperm binding protein|ku70-binding protein 1|sulfated glycoprotein 2|testosterone-repressed prostate message 2",8p21.1,8,NC_000008.11,27596917,27614700,minus,11,185430
9606,Homo sapiens,1378,0,live,CR1,"C3BR, C4BR, CD35, KN",complement C3b/C4b receptor 1 (Knops blood group),complement receptor type 1|C3-binding protein|C3b/C4b receptor|CD35 antigen|Knops blood group antigen|complement component (3b/4b) receptor 1 (Knops blood group)|complement receptor 1,1q32.2,1,NC_000001.11,207496157,207641765,plus,47,120620
9606,Homo sapiens,274,0,live,BIN1,"AMPH2, AMPHL, CNM2, SH3P9",bridging integrator 1,myc box-dependent-interacting protein 1|amphiphysin II|amphiphysin-like protein|box dependant MYC interacting protein 1|box-dependent myc-interacting protein 1,2q14.3,2,NC_000002.12,127048023,127107154,minus,22,601248
9606,Homo sapiens,341,0,live,APOC1,"Apo-CI, ApoC-I, apo-CIB, apoC-IB",apolipoprotein C1,apolipoprotein C-I,19q13.32,19,NC_000019.10,44914325,44919346,plus,5,107710
9606,Homo sapiens,10452,0,live,TOMM40,"C19orf1, D19S1177E, PER-EC1, PEREC1, TOM40",translocase of outer mitochondrial membrane 40,mitochondrial import receptor subunit TOM40 homolog|mitochondrial outer membrane protein|p38.5|protein Haymaker|translocase of outer membrane 40 kDa subunit homolog|translocase of outer mitochondrial membrane 40 homolog,19q13.32,19,NC_000019.10,44891254,44903689,plus,10,608061
9606,Homo sapiens,945,0,live,CD33,"SIGLEC-3, SIGLEC3, p67",CD33 molecule,myeloid cell surface antigen CD33|CD33 antigen (gp67)|CD33 molecule transcript|gp67|sialic acid-binding Ig-like lectin 3,19q13.41,19,NC_000019.10,51211076,51240016,plus,14,159590
9606,Homo sapiens,8301,0,live,PICALM,"CALM, CLTH, LAP",phosphatidylinositol binding clathrin assembly protein,phosphatidylinositol-binding clathrin assembly protein|clathrin assembly lymphoid myeloid leukemia protein,11q14.2,11,NC_000011.10,85957175,86069860,minus,23,603025
9606,Homo sapiens,10347,0,live,ABCA7,"ABCA-SSN, ABCX, AD9",ATP binding cassette subfamily A member 7,"phospholipid-transporting ATPase ABCA7|ATP-binding cassette sub-family A member 7|ATP-binding cassette, sub-family A (ABC1), member 7|autoantigen SS-N|macrophage ABC transporter",19p13.3,19,NC_000019.10,1040107,1065572,plus,48,605414
9606,Homo sapiens,5819,0,live,NECTIN2,"CD112, HVEB, PRR2, PVRL2, PVRR2",nectin cell adhesion molecule 2,nectin-2|herpesvirus entry protein B|poliovirus receptor-like 2|poliovirus receptor-related 2 (herpesvirus entry mediator B),19q13.32,19,NC_000019.10,44846297,44889223,plus,10,600798
